Version, Versão
Failure in internal communication with the slave,Falha na comunicação interna com o escravo
Automatic detection failure,Falha na detecção automática
Insulation detection failure,Falha na detecção de isolamento
EEPROM write failure,Falha na gravação da EEPROM
EEPROM reading failure,Falha na leitura da EEPROM
Bus voltage soft start failure,Falha na partida suave da tensão do barramento
String failure,Falha na string
Bus voltage failure,Falha na tensão do barramento
IGBT unit failure,Falha na unidade IGBT
Fan failure,Falha na ventoinha
AFCI automatic check failure,Falha na verificação automática do AFCI
Monitoring chip BOOT check failure,Falha na verificação do BOOT do chip de monitoramento
SPD failure,Falha no SPD
Panel access failure,Falha no acesso ao painel
AFCI self-test failure,Falha no autoteste do AFCI
Stuck AC Contactor Failure,Falha no contator AC preso
Stuck DC+ contactor fault,Falha no contator DC+ preso
Display failure,Falha no display
Device failure,Falha no dispositivo
IGBT drive failure,Falha no drive de IGBT
Internal power test failed,Falha no teste de energia interna
Internal power test failed (low PV power),Falha no teste de energia interna (energia FV baixa)
Abnormal auxiliary power supply,Fonte de alimentação auxiliar anormal
Out of permitted range.Main frequency,Fora da faixa permitida.Frequência da rede elétrica
Out of VAC range,Fora de faixa V CA
Abnormal network frequency,Frequência da rede anormal
Mains frequency out of range,Frequência da rede elétrica fora da faixa
Mains frequency outside the permitted range.,Frequência da rede elétrica fora da faixa permitida.
Abnormal CC SPD function,Função CC SPD anormal
Abnormal Dryconnect function,Função Dryconnect anormal
Abnormal PID function,Função PID anormal
Abnormal AC SPD function,Função SPD CA anormal
Abnormal fan function,Função do ventilador anormal
Abnormal dry connection function,Função de conexão seca anormal
Abnormal dry contact function,Função de contato seco anormal
Open DC fuse,Fusivél DC aberto
Open DC Fuse,Fusível CC Aberto
Blown DC fuse,Fusível CC queimado
Damaged fuse,Fusível danificado
DSP and COM firmware version incompatibility,Incompatibilida de da versão do firmware DSP e COM
DSP and COM firmware version mismatch,Incompatibilidade de versão de firmware DSP e COM
Battery voltage polarity reversal,Inversão de polaridade de tensão da bateria
CT inversion,Inversão do CT
Meter inversion,Inversão do medidor
Correct PID mode not chosen,Modo PID correto não escolhido
Abnormal boot mode,Modo de inicialização anormal
Correct sequence mode not chosen,Modo sequência correto não escolhido
Microinverter connection configuration method,Método de configuração de conexão do microinversor
THOR internet configuration method,Método de configuração de internet do THOR
Datalogger configuration methods,Métodos de configuração do datalogger
Wrongly configured PV module,Módulo FV configurado errado
Damaged GFCI module,Módulo GFCI danificado
DOESN'T CALL,NÃO LIGA
Does not connect to the internet,Não conecta na internet
I can't access the ShineMaster WEB page,Não consigo acessar a página WEB do ShineMaster
The inverter did not detect the grid voltage,O inversor não detectou a tensão da rede
Leakage current module is abnormal,O módulo de corrente de fuga está anormal
The automatic test was not successful,O teste automático não foi bem sucedido
The automatic test was not successful.,O teste automático não foi bem sucedido.
The data sampled by the DSP and the redundant M3 are not the same.,Os dados amostrados pelo DSP e pelo M3 redundante não são os mesmos.
Panel short circuit,Painel em curto circuito
Output overload protection,Proteção contra sobrecarga de saída
Overcurrent protection,Proteção contra sobrecorrente
USB overcurrent protection,Proteção contra sobrecorrente USB
PWM AC bypass protection,Proteção de desvio de PWM CA
U-disk overcurrent protection,Proteção de sobrecorrente no U-disk
Anti-return fault protection,Proteção para falhas antirretorno
Abnormal reactivation,Reativação anormal
Abnormal relay,Relê anormal
Low panel insulation resistance,Resistência de isolamento do painel baixa
Noise,Ruído
Sampling error of battery voltage detection is over 0.5V,Sampling error of battery voltage detecting is over 0.5V
DCI output high,Saída DCI alta
No AC connection,Sem conexão CA
No network connection,Sem conexão de rede
No network,Sem rede
Abnormal temperature sensor,Sensor de temperatura anormal
Abnormal synchronization signal,Sinal de sincronização anormal
Output Overload,Sobrecarga de saída
USB Overcurrent,Sobrecorrente USB
Software protected overcurrent,Sobrecorrente protegida por software
Overvoltage Phase 1,Sobretensão Fase 1
Overvoltage Phase 2,Sobretensão Fase 2
Overvoltage Phase 3,Sobretensão Fase 3
AC input overvoltage,Sobretensão de entrada AC
DC output overvoltage,Sobretensão de saída DC
Bus overvoltage,Sobretensão do barramento
Overvoltage/undervoltage on the internal bus.,Sobretensão/subtensão no barramento interno.
Undervoltage Phase 1,Subtensão Fase 1
Undervoltage Phase 2,Subtensão Fase 2
Undervoltage Phase 3,Subtensão Fase 3
AC input undervoltage,Subtensão de entrada AC
Undervoltage in all phases,Subtensão em todas as fases
NTC temperature too high,Temperatura do NTC muito alta
Very high temperature,Temperatura muito alta
Pairing timed out,Tempo de pareamento esgotado
CT wireless pairing timed out,Tempo de pareamento sem fio do CT esgotado
Isolation detection timeout,Tempo limite na detecção de isolamento
AC voltage out of range,Tensão CA fora da faixa
Very high DC voltage,Tensão CC muito alta
Abnormal DC bus sampled voltage,Tensão amostrada do barramento CC anormal
Abnormal mains voltage,Tensão da rede elétrica anorma
Mains voltage out of range,Tensão da rede elétrica fora da faixa
Component DC output voltage too high,Tensão de saída CC do componente muito alta
Abnormal bus voltage,Tensão do barramento anormal
Neutral and PE voltage above 30V.,Tensão do neutro e PEacima de 30V.
Panel voltage too high,Tensão do painel muito alta
High photovoltaic voltage,Tensão fotovoltaica alta
Abnormal PID/series quick connect terminal,Terminal de conexão rápida PID/série anormal
Abnormal battery inverted connection protection tube,Tubo de proteção de conexão invertida da bateria anormal
VAC out of range,V CA fora do intervalo
Abnormal firmware version,Versão do firmware anormal
Incompatible control board and communication board firmware version,Versão do firmware da placa de controle e placa de comunicação incompatíveis
communication between M3 and SP-CT,comunicação entre M3 e SP-CT
unbalanced output current,corrente de saída desbalanceada
overload failure,falha de over load
outside the permitted range. Mains frequency,fora da faixa permitida.Frequência da rede elétrica
communication and control board with low battery,placa de comunicação e controle com bateria baixa
ac voltage out of range,tensão ca fora da faixa
